Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
440020,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,1265 E COLLEGE ST,PULASKI,TN,38478,GILES,9313637531,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1265 E COLLEGE ST PULASKI, TN 38478 (35.19129, -87.004322)"
440025,"LAUGHLIN MEMORIAL HOSPITAL, INC",1420 TUSCULUM BLVD,GREENEVILLE,TN,37745,GREENE,4237875000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1420 TUSCULUM BLVD GREENEVILLE, TN 37745 (36.175393, -82.790893)"
440029,WILLIAMSON MEDICAL CENTER,4321 CAROTHERS PARKWAY,FRANKLIN,TN,37067,WILLIAMSON,6154355000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"4321 CAROTHERS PARKWAY FRANKLIN, TN 37067 (35.916684, -86.817047)"
440030,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,908 W 4TH NORTH ST,MORRISTOWN,TN,37814,HAMBLEN,4235864231,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"908 W 4TH NORTH ST MORRISTOWN, TN 37814 (36.211948, -83.304345)"
440031,ROANE MEDICAL CENTER,8045 ROANE MEDICAL CENTER DRIVE,HARRIMAN,TN,37748,ROANE,8653161000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"8045 ROANE MEDICAL CENTER DRIVE HARRIMAN, TN 37748 (35.888312, -84.554418)"
440032,HAWKINS COUNTY MEMORIAL HOSPITAL,851 LOCUST STREET,ROGERSVILLE,TN,37857,HAWKINS,4239217000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"851 LOCUST STREET ROGERSVILLE, TN 37857 (36.399736, -83.012943)"
440033,TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER,923 EAST CENTRAL AVENUE,LA FOLLETTE,TN,37766,CAMPBELL,4239071440,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"923 EAST CENTRAL AVENUE LA FOLLETTE, TN 37766 (36.387967, -84.111365)"
440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,ANDERSON,8658351000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"990 OAK RIDGE TURNPIKE BOX 529 OAK RIDGE, TN 37830 (36.023397, -84.2439)"
440035,TENNOVA HEALTHCARE-CLARKSVILLE,651 DUNLOP LANE,CLARKSVILLE,TN,37040,MONTGOMERY,9315021000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"651 DUNLOP LANE CLARKSVILLE, TN 37040 (36.580414, -87.268485)"
440039,VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,DAVIDSON,6153223454,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"1211 MEDICAL CENTER DRIVE NASHVILLE, TN 37232 (36.142832, -86.800174)"
440040,PERRY COMMUNITY HOSPITAL,2718 SQUIRREL HOLLOW DRIVE,LINDEN,TN,37096,PERRY,9315892121,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"2718 SQUIRREL HOLLOW DRIVE LINDEN, TN 37096 (35.591854, -87.862909)"
440046,TRISTAR HORIZON MEDICAL CENTER,111 HIGHWAY 70 EAST,DICKSON,TN,37055,DICKSON,6154460446,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,"111 HIGHWAY 70 EAST DICKSON, TN 37055 (36.07212, -87.374808)"
440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,SHELBY,9012265000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,"6019 WALNUT GROVE ROAD MEMPHIS, TN 38120 (35.130758, -89.861022)"
440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,SHELBY,9015168274,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,"1265 UNION AVE SUITE 700 MEMPHIS, TN 38104 (35.137088, -90.019145)"
440050,TAKOMA REGIONAL HOSPITAL,401 TAKOMA AVE,GREENEVILLE,TN,37743,GREENE,4236393151,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"401 TAKOMA AVE GREENEVILLE, TN 37743 (36.152114, -82.844926)"
440053,SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,37129,RUTHERFORD,6153964100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"1700 MEDICAL CENTER PARKWAY MURFREESBORO, TN 37129 (35.85864, -86.424241)"
440056,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,110 HOSPITAL DRIVE,JEFFERSON CITY,TN,37760,JEFFERSON,8654712500,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"110 HOSPITAL DRIVE JEFFERSON CITY, TN 37760 (36.10686, -83.51964)"
440057,CLAIBORNE MEDICAL CENTER,1850 OLD KNOXVILLE HIGHWAY,TAZEWELL,TN,37879,CLAIBORNE,4236264211,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,"1850 OLD KNOXVILLE HIGHWAY TAZEWELL, TN 37879 (36.453341, -83.571972)"
440058,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,185 HOSPITAL ROAD,WINCHESTER,TN,37398,FRANKLIN,9319678295,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,"185 HOSPITAL ROAD WINCHESTER, TN 37398 (35.176023, -86.091076)"
440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,PUTNAM,9317832000,Acute Care Hospitals,Government - Local,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1 MEDICAL CENTER BOULEVARD COOKEVILLE, TN 38501 (36.16996, -85.50935)"
440060,MILAN GENERAL HOSPITAL,4039 HIGHLAND ST,MILAN,TN,38358,GIBSON,7316861591,Acute Care Hospitals,Government - Local,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"4039 HIGHLAND ST MILAN, TN 38358 (35.913311, -88.753495)"
440061,WEST TENNESSEE HEALTHCARE VOLUNTEER HOSPITAL,161 MOUNT PELIA RD,MARTIN,TN,38237,WEAKLEY,7314796057,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"161 MOUNT PELIA RD MARTIN, TN 38237 (36.333569, -88.869022)"
440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,WASHINGTON,4234316111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"400 N STATE OF FRANKLIN RD JOHNSON CITY, TN 37604 (36.30826, -82.38649)"
440065,NORTHCREST MEDICAL CENTER,100 NORTHCREST DRIVE,SPRINGFIELD,TN,37172,ROBERTSON,6153842411,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,1,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"100 NORTHCREST DRIVE SPRINGFIELD, TN 37172 (36.479518, -86.888898)"
440067,LAKEWAY REGIONAL HOSPITAL,726 MCFARLAND ST,MORRISTOWN,TN,37814,HAMBLEN,4235226000,Acute Care Hospitals,Proprietary,TRUE,,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"726 MCFARLAND ST MORRISTOWN, TN 37814 (36.21464, -83.304335)"
440068,STARR REGIONAL MEDICAL CENTER ATHENS,1114 W MADISON AVE,ATHENS,TN,37371,MC MINN,4237451411,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1114 W MADISON AVE ATHENS, TN 37371 (35.440789, -84.608823)"
440070,DECATUR COUNTY GENERAL HOSPITAL,969 TENNESSEE AVE S,PARSONS,TN,38363,DECATUR,7318473031,Acute Care Hospitals,Government - Local,TRUE,,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"969 TENNESSEE AVE S PARSONS, TN 38363 (35.635713, -88.12317)"
440072,WEST TENNESSEE HEALTHCARE DYERSBURG HOSPITAL,400 EAST TICKLE STREET,DYERSBURG,TN,38024,DYER,7312852410,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,"400 EAST TICKLE STREET DYERSBURG, TN 38024 (36.047358, -89.38059)"
440073,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVE,COLUMBIA,TN,38401,MAURY,9313811111,Acute Care Hospitals,Government - Local,TRUE,,3,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1224 TROTWOOD AVE COLUMBIA, TN 38401 (35.605855, -87.065844)"
440081,LECONTE MEDICAL CENTER,742 MIDDLECREEK ROAD,SEVIERVILLE,TN,37862,SEVIER,8654467500,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"742 MIDDLECREEK ROAD SEVIERVILLE, TN 37862 (35.853855, -83.536965)"
440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,DAVIDSON,6152222111,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,"4220 HARDING RD, PO BOX 380 NASHVILLE, TN 37205"
440083,JAMESTOWN REGIONAL MEDICAL CENTER,436 CENTRAL AVENUE WEST,JAMESTOWN,TN,38556,FENTRESS,9318793352,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"436 CENTRAL AVENUE WEST JAMESTOWN, TN 38556 (36.431359, -84.942946)"
440084,SWEETWATER HOSPITAL ASSOCIATION,304 WRIGHT ST,SWEETWATER,TN,37874,MONROE,8652138200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,"304 WRIGHT ST SWEETWATER, TN 37874 (35.60025, -84.464223)"
440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,HAMILTON,4234952525,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,"2525 DESALES AVE CHATTANOOGA, TN 37404 (35.040037, -85.261129)"
440102,LINCOLN MEDICAL CENTER,106 MEDICAL CENTER BLVD,FAYETTEVILLE,TN,37334,LINCOLN,9314381100,Acute Care Hospitals,Government - Local,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"106 MEDICAL CENTER BLVD FAYETTEVILLE, TN 37334 (35.149005, -86.557341)"
440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,HAMILTON,4237787000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"975 E 3RD ST CHATTANOOGA, TN 37403 (35.047899, -85.290853)"
440109,HARDIN MEDICAL CENTER,935 WAYNE ROAD,SAVANNAH,TN,38372,HARDIN,7319268121,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"935 WAYNE ROAD SAVANNAH, TN 38372 (35.22713, -88.230362)"
440110,FORT LOUDON MEDICAL CENTER,550 FORT LOUDON MEDICAL CENTER DR,LENOIR CITY,TN,37772,LOUDON,8652716000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"550 FORT LOUDON MEDICAL CENTER DR LENOIR CITY, TN 37772 (35.827108, -84.271752)"
440111,METRO NASHVILLE GENERAL HOSPITAL,1818 ALBION STREET,NASHVILLE,TN,37208,DAVIDSON,6153414490,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"1818 ALBION STREET NASHVILLE, TN 37208 (36.166135, -86.806327)"
440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,KNOX,8655458000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,"900 EAST OAK HILL AVENUE KNOXVILLE, TN 37917 (35.992086, -83.92832)"
440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,KNOX,8655411101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,"1901 W CLINCH AVE KNOXVILLE, TN 37916 (35.95681, -83.937134)"
440130,BAPTIST MEMORIAL HOSPITAL UNION CITY,"1201 BISHOP ST, PO BOX 310",UNION CITY,TN,38261,OBION,7318852410,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1201 BISHOP ST, PO BOX 310 UNION CITY, TN 38261 (36.414423, -89.039037)"
440131,BAPTIST MEMORIAL HOSPITAL TIPTON,1995 HIGHWAY 51 S,COVINGTON,TN,38019,TIPTON,9014762621,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1995 HIGHWAY 51 S COVINGTON, TN 38019 (35.535248, -89.676169)"
440132,HENRY COUNTY MEDICAL CENTER,301 TYSON AV,PARIS,TN,38242,HENRY,7316421220,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"301 TYSON AV PARIS, TN 38242 (36.296802, -88.311271)"
440133,SAINT THOMAS MIDTOWN HOSPITAL,2000 CHURCH ST,NASHVILLE,TN,37236,DAVIDSON,6152845555,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2000 CHURCH ST NASHVILLE, TN 37236 (36.1534, -86.800835)"
440137,TENNOVA HEALTHCARE-SHELBYVILLE,2835 HWY 231 N,SHELBYVILLE,TN,37160,BEDFORD,9316855433,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2835 HWY 231 N SHELBYVILLE, TN 37160 (35.563218, -86.446372)"
440144,TENNOVA HEALTHCARE-HARTON,1801 N JACKSON ST BOX 460,TULLAHOMA,TN,37388,COFFEE,9313933000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1801 N JACKSON ST BOX 460 TULLAHOMA, TN 37388 (35.382921, -86.230533)"
440148,SAINT THOMAS DEKALB HOSPITAL,520 W MAIN ST,SMITHVILLE,TN,37166,DE KALB,6152155000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"520 W MAIN ST SMITHVILLE, TN 37166 (35.959403, -85.829841)"
440150,TRISTAR SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,DAVIDSON,6153163000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"5655 FRIST BLVD HERMITAGE, TN 37076 (36.177999, -86.606015)"
440151,SAINT THOMAS RIVER PARK HOSPITAL,1559 SPARTA STREET,MC MINNVILLE,TN,37110,WARREN,9318154101,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1559 SPARTA STREET MC MINNVILLE, TN 37110 (35.698694, -85.742339)"
440152,REGIONAL ONE HEALTH,877 JEFFERSON AVENUE,MEMPHIS,TN,38103,SHELBY,9015457928,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,1,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"877 JEFFERSON AVENUE MEMPHIS, TN 38103 (35.142634, -90.031297)"
440153,TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER,435 2ND ST,NEWPORT,TN,37821,COCKE,4236252200,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"435 2ND ST NEWPORT, TN 37821 (35.965067, -83.181619)"
